,문화재종목,문화재명(국문),문화재명(한자),시도명,시군구명,관리자,경도,위도
0,국보,서울 숭례문,서울 崇禮門,서울,중구,문화재청 덕수궁관리소,126.975312652739,37.559975221378
1,국보,서울 원각사지 십층석탑,서울 圓覺寺址 十層石塔,서울,종로구,종로구,126.988207994364,37.5715461695449
2,국보,서울 북한산 신라 진흥왕 순수비,서울 北漢山 新羅 眞興王 巡狩碑,서울,용산구,국립중앙박물관,126.980350241652,37.5240413763397
3,국보,여주 고달사지 승탑,驪州 高達寺址 僧塔,경기,여주시,여주시,127.652160778359,37.3939072455202
4,국보,보은 법주사 쌍사자 석등,報恩 法住寺 雙獅子 石燈,충북,보은군,법주사,127.833219375596,36.5421679403972
5,국보,충주 탑평리 칠층석탑,忠州 塔坪里 七層石塔,충북,충주시,충주시,127.866630082822,37.0158885404695
6,국보,천안 봉선홍경사 갈기비,天安 奉先弘慶寺 碣記碑,충남,천안시,천안시,127.134710477185,36.943151950305
7,국보,보령 성주사지 대낭혜화상탑비,保寧 聖住寺址 大朗慧和尙塔碑,충남,보령시,보령시,126.655469090758,36.3446996913308
8,국보,부여 정림사지 오층석탑,扶餘 定林寺址 五層石塔,충남,부여군,부여군,126.913363436976,36.2792973520136
9,국보,남원 실상사 백장암 삼층석탑,南原 實相寺 百丈庵 三層石塔,전북,남원시,백장암,127.619971568516,35.4425391241814
10,국보,익산 미륵사지 석탑,益山 彌勒寺址 石塔,전북,익산시,익산시,127.030560529125,36.0124223230747
11,국보,구례 화엄사 각황전 앞 석등,求禮 華嚴寺 覺皇殿 앞 石燈,전남,구례군,화엄사,127.497444533919,35.2571531377685
12,국보,강진 무위사 극락보전,康津 無爲寺 極樂寶殿,전남,강진군,무위사,126.686758419185,34.738787662775
13,국보,영천 거조사 영산전,永川 居祖寺 靈山殿,경북,영천시,은해사,128.764535947917,36.0200794751569
14,국보,안동 봉정사 극락전,安東 鳳停寺 極樂殿,경북,안동시,봉정사,128.662442,36.65344383
15,국보,안동 법흥사지 칠층전탑,安東 法興寺址 七層塼塔,경북,안동시,안동시,128.746392271242,36.5659751219048
16,국보,영주 부석사 무량수전 앞 석등,榮州 浮石寺 無量壽殿 앞 石燈,경북,영주시,부석사,128.687451710932,36.9988050108967
17,국보,영주 부석사 무량수전,榮州 浮石寺 無量壽殿,경북,영주시,부석사,128.68748555042,36.9989539877941
18,국보,영주 부석사 조사당,榮州 浮石寺 祖師堂,경북,영주시,부석사,128.688515469067,36.9996018286797
19,국보,경주 불국사 다보탑,慶州 佛國寺 多寶塔,경북,경주시,불국사,129.332267999295,35.7899698186069
20,국보,경주 불국사 삼층석탑,慶州 佛國寺 三層石塔,경북,경주시,불국사,129.331984595091,35.7899677237892
21,국보,경주 불국사 연화교 및 칠보교,慶州 佛國寺 蓮華橋 및 七寶橋,경북,경주시,불국사,129.331642804335,35.7897191051224
22,국보,경주 불국사 청운교 및 백운교,慶州 佛國寺 靑雲橋 및 白雲橋,경북,경주시,불국사,129.332158169199,35.7897229583531
23,국보,경주 석굴암 석굴,慶州 石窟庵 石窟,경북,경주시,석굴암,129.349242,35.794852
24,국보,경주 태종무열왕릉비,慶州 太宗武烈王陵碑,경북,경주시,경주시,129.188548279325,35.8251335576631
25,국보,경주 불국사 금동비로자나불좌상,慶州 佛國寺 金銅毘盧遮那佛坐像,경북,경주시,불국사,0,0
26,국보,경주 불국사 금동아미타여래좌상,慶州 佛國寺 金銅阿彌陀如來坐像,경북,경주시,불국사,0,0
27,국보,경주 백률사 금동약사여래입상,慶州 栢栗寺 金銅藥師如來立像,경북,경주시,국립경주박물관,129.227912382125,35.8293874259588
28,국보,성덕대왕신종,聖德大王神鍾,경북,경주시,국립경주박물관,129.227912382125,35.8293874259588
29,국보,경주 분황사 모전석탑,慶州 芬皇寺 模塼石塔,경북,경주시,분황사,129.233641826763,35.840561548299
30,국보,경주 첨성대,慶州 瞻星臺,경북,경주시,경주시,129.218993693668,35.834695848054
31,국보,합천 해인사 대장경판,陜川 海印寺 大藏經板,경남,합천군,해인사,128.0980159,35.8011827
32,국보,창녕 신라 진흥왕 척경비,昌寧 新羅 眞興王 拓境碑,경남,창녕군,창녕군,128.50264501968,35.5407250695667
33,국보,창녕 술정리 동 삼층석탑,昌寧 述亭里 東 三層石塔,경남,창녕군,창녕군,128.496103617453,35.5395963195985
34,국보,구례 화엄사 사사자 삼층석탑,求禮 華嚴寺 四獅子 三層石塔,전남,구례군,화엄사,127.49652701406,35.2569773703239
35,국보,상원사 동종,上院寺 銅鍾,강원,평창군,상원사,128.569613,37.7657317
36,국보,경주 황복사지 삼층석탑,慶州 皇福寺址 三層石塔,경북,경주시,경주시,129.242391005132,35.8321857175997
37,국보,경주 고선사지 삼층석탑,慶州 高仙寺址 三層石塔,경북,경주시,경주시,129.229057533909,35.8281281391872
38,국보,경주 나원리 오층석탑,慶州 羅原里 五層石塔,경북,경주시,경주시,129.212255439354,35.8936077546984
39,국보,경주 정혜사지 십삼층석탑,慶州 淨惠寺址 十三層石塔,경북,경주시,경주시,129.157669514943,36.0190473494375
40,국보,청주 용두사지 철당간,淸州 龍頭寺址 鐵幢竿,충북,청주시,청주시,127.48975464869,36.6330873652615
41,국보,순천 송광사 목조삼존불감,順天 松廣寺 木造三尊佛龕,전남,순천시,송광사,127.2756552,35.0021686
42,국보,혜심 고신제서,惠諶 告身制書,전남,순천시,송광사,127.2756552,35.0021686
43,국보,장흥 보림사 남·북 삼층석탑 및 석등,長興 寶林寺 南·北 三層石塔 및 石燈,전남,장흥군,보림사,126.896264475771,34.8077435022035
44,국보,영주 부석사 소조여래좌상,榮州 浮石寺 塑造如來坐像,경북,영주시,부석사,128.6879994,36.9989709
45,국보,부석사 조사당 벽화,浮石寺 祖師堂 壁畵,경북,영주시,부석사,128.6879994,36.9989709
46,국보,하동 쌍계사 진감선사탑비,河東 雙磎寺 眞鑑禪師塔碑,경남,하동군,쌍계사,127.650504705527,35.2324784611333
47,국보,평창 월정사 팔각 구층석탑,平昌 月精寺 八角 九層石塔,강원,평창군,월정사,128.592070081831,37.7316038064596
48,국보,평창 월정사 석조보살좌상,平昌 月精寺 石造菩薩坐像,강원,평창군,월정사,128.592070081831,37.7316038064596
49,국보,예산 수덕사 대웅전,禮山 修德寺 大雄殿,충남,예산군,수덕사,126.622672726278,36.6632845477709
50,국보,영암 도갑사 해탈문,靈巖 道岬寺 解脫門,전남,영암군,도갑사,126.662111686294,34.7527543103396
51,국보,강릉 임영관 삼문,江陵 臨瀛館 三門,강원,강릉시,강릉시,128.891896913434,37.7529411974014
52,국보,합천 해인사 장경판전,陜川 海印寺 藏經板殿,경남,합천군,해인사,128.098720300091,35.8016023778966
