,제품명,판매자,가격,배송
0,"산지직송 고당도 프리미엄 수출용 가정용 김천,상주 샤인머스켓",과일Tv,"35,800원",배송비무료
1,백화점용 프리미엄 고당도 마이하트포도 바이올렛킹포도 레드 샤인머스켓 루비로망 임산부 제철 과일 선물세트,맑은 숨,"34,800원","배송비3,500원"
2,맛가득 망고포도 상주 샤인머스켓 2kg 3Kg 블랙사파이어 1Kg 가지포도 블랙아도라,맛가득,"15,700원",배송비무료
3,프리미엄 고당도 마이하트포도 샤인머스켓 레드 바이올렛킹 루비로망 추석 설 선물세트 샤인머스캣,데일리팜 dailyfarm,"42,900원","배송비3,500원"
4,국내산 샤인머스캣 800G/1KG/2KG 망고포도,싸공마켓,"17,910원",배송비무료
5,[성림청과]망고 맛이 나는 청포도 샤인머스켓2kg,성림청과,"54,900원",배송비무료
6,아삭아삭 망고향 고당도 샤인머스켓 애플청포도 오톰크리시피,트라이크코리아,"29,900원","배송비3,000원"
7,아삭상큼 2kg 4kg 씨없는 포도 애플청포도 어텀크리스피 오톰크리스피 샤인머스켓,프루츠윗,"38,900원",배송비무료
8,김천 샤인머스켓 씨없는 청포도 망고포도 1kg 2kg,농부하루,"19,900원",배송비무료
9,샤인 머스캣 1KG(박스),Homeplus,"11,990원","배송비3,000원"
10,고당도 샤인머스캣 가정용 김천 샤인머스켓 1kg 2kg,달달과수원,"19,800원",배송비무료
11,샤인머스켓 2kg,가락시장 목포상회 과일,"25,900원",배송비무료
12,전국선별 샤인머스캣 2kg 고당도 프리미엄 제철과일,몰리다마켓,"33,500원","배송비3,000원"
13,[코스트코 직배송] 샤인머스켓 청포도 2kg / 직배송 상품,코바로,"45,300원","배송비3,000원"
14,필수 경산 샤인머스켓 고당도 망고포도,필수 장터,"15,900원",배송비무료
15,샤인머스켓 애플청포도 오톰크리시피 제철과일 선물세트,마스크쇼핑,"29,900원","배송비3,000원"
16,고당도 프리미엄 특급 수출용 샤인머스켓 2kg 씨없는포도,순삭팔도먹거리,"38,000원","배송비4,000원"
17,2022년 햇 포도 고당도 샤인머스켓 망고포도 씨 없는 청포도 수출용 추석 설 선물용,초록카트,"24,900원",배송비무료
18,고당도 샤인머스캣 4kg,대원당길 샤인머스켓,"47,000원",배송비무료
19,고급 가정용 샤인머스켓 고당도 망고포도 프리미엄 선물 당일경매 2kg,도담FreshFruit,"51,000원",배송비무료
20,김천 꿀당도 샤인머스켓 망고포도 특품 에어포장 추석선물 2kg,참이맛이야,"40,900원",배송비무료
21,고당도 샤인머스켓 1kg,상상과현실,"14,500원","배송비2,500원"
22,랜덤마트 김천 포도 신선 과일 샤인머스켓 1kg,GG푸드,"26,500원","배송비3,500원"
23,샤인머스캣 고당도 포도 4kg,,"52,000원",배송비무료
24,천안 입장 샤인머스켓 4 kg (신선/고당도),입장하림농원,"49,900원","배송비4,000원"
25,송년회 집들이 설 명절 선물 국내산 고당도 샤인머스캣,라쁘띠아트,"22,000원","배송비3,000원"
26,고당도 프리미엄 샤인머스켓 수출용 가정용 1.3kg 2kg 3kg 경북 상주 망고포도  샤인머스켓 2kg,,"36,800원","배송비3,000원"
27,"루비로망 루비로망포도 원조 샤인머스켓 (30년차, GAP 고당도 우수 농산물 산지직송농장, 수출판매농가) 키다리팜",키다리팜 샤인머스켓,"65,000원",배송비무료
28,고당도 프리미엄 샤인머스켓 수출용 가정용 1.3kg 2kg 3kg 경북 상주 망고포도  샤인머스켓 3kg,,"49,800원","배송비3,000원"
29,고품질 고당도 샤인머스켓 1.5kg (2-3송이) 예약 8월20일부터 순차배송,신비한과일상자,"29,900원",배송비무료
30,신품종 레드샤인머스켓  마이하트포도700g내외 - 신비로운 핑크빛의 하트하트포도,,"16,640원",배송비무료
31,아삭하고 달달한 고당도 망고포도 샤인머스켓 2kg 4kg,율이네 포도 농원,"30,000원","배송비5,000원"
32,고당도 샤인머스캣 2kg,대원당길 샤인머스켓,"26,000원",배송비무료
33,충북영동 프리미엄 샤인머스캣 망고포도,월류팜샤인머스켓,"999,990원",배송비무료
34,샤인머스켓 추석 선물용 수출용 가정용 2Kg,WithYOU,"44,000원","배송비3,000원"
35,"솔리베리 샤인머스켓 고당도 망고 포도 가정용 특품 청포도 1kg,2kg,4kg",솔리베리 SOLYVERY,"23,500원","배송비4,000원"
36,[선물세트]국내산 프리미엄 샤인머스캣 청 포도1.6/2.4kg,싹다담아,"45,000원",배송비무료
37,김천특등품샤인머스켓 특등품샤인머스켓  샤인머스켓 2kg,,"65,200원",배송비무료
38,[품질보증] 명품 샤인머스켓 1kg 선물용최고제품  1개,,"29,900원",배송비무료
39,[한정판매] 산지직송 국내산 전남 보성 샤인머스켓 2kg (3~4수),지우Fun,"37,860원",배송비무료
